site,lat,lon,data_status,average_annual_methane_kg,lcom_usd_per_kg_ch4,total_capex_usd,annual_opex_usd_per_year,plant_utilisation,curtailment_fraction,storage_capacity_mwh,forecast_cost_ratio,annual_balance_deficit_mwh
Tromso,69.6492,18.9553,synthetic_5plus10_through_2025,66248.98026474015,337.8026293842615,183404406.63756782,3698935.8035196853,0.9668586601714966,0.16260217699664606,758.4455453453086,1.023072816552835,0.0
Cromarty,57.6828,-4.0387,synthetic_5plus10_through_2025,98225.92989315192,182.22774400554516,146583800.11780143,2969605.787586636,0.9763290295205189,0.1361690231682161,589.7122051288989,1.0156077625200355,0.0
Dublin,53.3498,-6.2603,synthetic_5plus10_through_2025,103545.68774026964,117.78823965577523,99757722.02129284,2035919.9478384221,0.9641133357168393,0.16494003739834387,378.3121119243352,1.0243035573710066,0.0
London,51.5074,-0.1278,synthetic_5plus10_through_2025,111801.33674003143,154.63041363333645,141531170.4994079,2872624.612180372,0.968162094114172,0.12792098745449423,568.3797109155242,1.024297186353569,0.0
Paris,48.8566,2.3522,synthetic_5plus10_through_2025,114945.65675293334,149.03426904586132,140231158.55592006,2847988.6894199816,0.9620646290879531,0.13835757276517677,561.9295586062347,1.029042520840082,0.0
Berlin,52.52,13.405,synthetic_5plus10_through_2025,104040.79425899003,111.33074313214208,94718302.18579584,1935670.6473097024,0.9571755475645637,0.17230826293082335,355.19260756079643,1.0313260030081366,0.0
Warsaw,52.2297,21.0122,synthetic_5plus10_through_2025,105296.72846292709,101.72240921328557,87559269.80704503,1792931.8687363488,0.960749688371817,0.17083683643807893,322.1355009494377,1.0283405412742612,0.0
Munich,48.1351,11.582,synthetic_5plus10_through_2025,115964.33504635656,121.88998810943608,115640661.47117406,2356634.619309777,0.9600897202472847,0.14410433839367223,449.6515651880346,1.0307460456263937,0.0
Vienna,48.2082,16.3738,synthetic_5plus10_through_2025,117009.0489319445,101.66004847997472,97258313.26353727,1989171.554712017,0.9668603563983404,0.14026729689754433,366.8921192773241,1.0231885120494144,0.0
Bucharest,44.4268,26.1025,synthetic_5plus10_through_2025,128325.61886811483,93.88718384913145,98499007.49379659,2015789.4910930241,0.9601151289431343,0.1076219216726903,374.2295017751604,1.0339607314305406,0.0
La Spezia,44.1072,9.8278,synthetic_5plus10_through_2025,128145.52121375898,102.9466747870538,107888068.07894744,2203517.258307108,0.9609974383502718,0.10770354876514676,416.36382101959094,1.0328774811751513,0.0
Madrid,40.4168,-3.7038,synthetic_5plus10_through_2025,131218.86460105065,99.0264237703436,106248019.32090104,2172539.441728428,0.9522320086478744,0.11672886980947658,407.8754806131622,1.042007488268898,0.0
Lisbon,38.7223,-9.1393,synthetic_5plus10_through_2025,141602.8760093814,124.95273046145536,144804516.81501207,2945006.1133890892,0.962077593955737,0.06998250391617536,584.453295493988,1.0358482930033104,0.0
Seville,37.3891,-5.9845,synthetic_5plus10_through_2025,140979.1570426603,109.00460751578531,125708529.01905152,2563686.3328419244,0.9508141774126708,0.08250454374087622,497.776356233258,1.0486247037497807,0.0
Athens,37.9838,23.7275,synthetic_5plus10_through_2025,141721.95834390717,136.402980303732,158241269.1361792,3214074.7040917994,0.9579758403616652,0.0725708674145145,646.1793717900321,1.0404537474046196,0.0
Nicosia,35.1856,33.3823,synthetic_5plus10_through_2025,134977.0572704694,83.29729806014534,91829534.66143635,1890183.2302702367,0.9533279805653343,0.12422958777870884,343.6388900803241,1.0381074620847064,0.0
